文件夹,名称,经纬度[经度 + 纬度],线条宽度,线条颜色,线条不透明度,闭合,线型,轨迹风格,轨迹类别,显示级别,叠放层次,对象ID,所属区域,Comment
/线路节点,线路节点1,"[0,0.000,360.000];113.57446941,25.99494177;113.57425313,25.99524191",1,0XFAFF0000,100,0,0,7,无,1-0,0,1666342833,无,
/线路节点,线路节点2,"[0,0.000,360.000];113.57296944,25.99396259;113.57265830,25.99406867",1,0X00FF0000,100,0,0,7,无,1-0,0,1822153976,无,
/线路节点,线路节点3,"[0,0.000,360.000];113.57181360,25.99787854;113.57182436,25.99773139",1,0X00FF0000,100,0,0,7,无,1-0,0,938606667,无,
/线路节点,线路节点4,"[0,0.000,360.000];113.57125781,25.99316131;113.57107043,25.99316217",1,0X00FF0000,100,0,0,7,无,1-0,0,302477495,无,
/线路节点,线路节点5,"[0,0.000,360.000];113.56951003,25.99311213;113.56957854,25.99311342",1,0X00FF0000,100,0,0,7,无,1-0,0,2135034517,无,
/线路节点,线路节点6,"[0,0.000,360.000];113.56349099,25.98581260;113.56352056,25.98565822",1,0X00FF0000,100,0,0,7,无,1-0,0,1958863484,无,
/线路节点,线路节点7,"[0,0.000,360.000];113.56902960,25.97541566;113.56897831,25.97530574",1,0X00FF0000,100,0,0,7,无,1-0,0,766564636,无,
/线路节点,线路节点8,"[0,0.000,360.000];113.57924599,25.96486109;113.57923792,25.96494675",1,0X00FF0000,100,0,0,7,无,1-0,0,704767589,无,
/线路节点,线路节点9,"[0,0.000,360.000];113.57010056,25.96454154;113.57000921,25.96460417",1,0X00FF0000,100,0,0,7,无,1-0,0,1080455669,无,
/线路节点,线路节点10,"[0,0.000,360.000];113.55692446,25.98456944;113.55688691,25.98426564",1,0X00FF0000,100,0,0,7,无,1-0,0,948908742,无,
/线路节点,线路节点11,"[0,0.000,360.000];113.55183363,25.97264850;113.55195165,25.97244595",1,0X00FF0000,100,0,0,7,无,1-0,0,1061159238,无,
/线路节点,线路节点12,"[0,0.000,360.000];113.55567076,25.96860736;113.55557836,25.96864327",1,0X00FF0000,100,0,0,7,无,1-0,0,303618869,无,
/线路节点,线路节点13,"[0,0.000,360.000];113.55469823,25.95402203;113.55476611,25.95417663",1,0X00FF0000,100,0,0,7,无,1-0,0,1638104444,无,
/线路节点,线路节点14,"[0,0.000,360.000];113.55600991,25.95707126;113.55597176,25.95697355",1,0X00FF0000,100,0,0,7,无,1-0,0,532016176,无,
/线路节点,线路节点15,"[0,0.000,360.000];113.55667233,25.94600528;113.55687618,25.94593293",1,0X00FF0000,100,0,0,7,无,1-0,0,1881204303,无,
/线路节点,线路节点16,"[0,0.000,360.000];113.59405383,25.94373416;113.59377876,25.94358810",1,0X00FF0000,100,0,0,7,无,1-0,0,338636811,无,
/线路节点,线路节点17,"[0,0.000,360.000];113.55849214,25.93869301;113.55847466,25.93877022",1,0X00FF0000,100,0,0,7,无,1-0,0,1673102061,无,
/线路节点,线路节点18,"[0,0.000,360.000];113.55436492,25.98431905;113.55429053,25.98407758",1,0X00FF0000,100,0,0,7,无,1-0,0,651432338,无,
/线路节点,线路节点19,"[0,0.000,360.000];113.55393454,25.98271752;113.55396410,25.98282615",1,0X00FF0000,100,0,0,7,无,1-0,0,1097915481,无,
/线路节点,线路节点20,"[0,0.000,360.000];113.54427698,25.98324330;113.54409814,25.98342176",1,0X00FF0000,100,0,0,7,无,1-0,0,905362072,无,
/线路节点,线路节点21,"[0,0.000,360.000];113.53685868,25.97412136;113.53700128,25.97410482",1,0X00FF0000,100,0,0,7,无,1-0,0,717119665,无,
/线路节点,线路节点22,"[0,0.000,360.000];113.53695870,25.98582050;113.53710803,25.98570506",1,0X00FF0000,100,0,0,7,无,1-0,0,1389316733,无,
/线路节点,线路节点23,"[0,0.000,360.000];113.52956680,25.99365845;113.52986097,25.99334540",1,0X00FF0000,100,0,0,7,无,1-0,0,1744739338,无,
/线路节点,线路节点24,"[0,0.000,360.000];113.52113361,25.99195700;113.52082729,25.99187957",1,0X00FF0000,100,0,0,7,无,1-0,0,1621165747,无,
/线路节点,线路节点25,"[0,0.000,360.000];113.50684110,25.97514395;113.50681686,25.97522350",1,0X00FF0000,100,0,0,7,无,1-0,0,1763672338,无,
/线路节点,线路节点26,"[0,0.000,360.000];113.52124079,26.00411064;113.52120312,26.00402368",1,0X00FF0000,100,0,0,7,无,1-0,0,42476597,无,
/线路节点,线路节点27,"[0,0.000,360.000];113.53613734,25.99924711;113.53609443,25.99957498",1,0X00FF0000,100,0,0,7,无,1-0,0,1901108093,无,
/线路节点,线路节点28,"[0,0.000,360.000];113.53946865,26.00340803;113.53944182,26.00358160",1,0X00FF0000,100,0,0,7,无,1-0,0,375461445,无,
/线路节点,线路节点29,"[0,0.000,360.000];113.54327448,26.01283971;113.54333636,26.01273131",1,0X00FF0000,100,0,0,7,无,1-0,0,77508001,无,
/线路节点,线路节点30,"[0,0.000,360.000];113.54962736,26.01072107;113.54962737,26.01065352",1,0X00FF0000,100,0,0,7,无,1-0,0,605031061,无,
/线路节点,线路节点31,"[0,0.000,360.000];113.55220986,25.99772347;113.55205927,25.99792582",1,0X00FF0000,100,0,0,7,无,1-0,0,285580686,无,
/线路节点,线路节点32,"[0,0.000,360.000];113.55260589,26.00571305;113.55249968,26.00564409",1,0X00FF0000,100,0,0,7,无,1-0,0,62998291,无,
/线路节点,线路节点33,"[0,0.000,360.000];113.56976217,26.00004463;113.56987816,26.00093084",1,0X00FF0000,100,0,0,7,无,1-0,0,158423856,无,
/线路节点,线路节点34,"[0,0.000,360.000];113.56718135,26.01186089;113.56777668,26.01205242",1,0X00FF0000,100,0,0,7,无,1-0,0,166038923,无,
/线路节点,线路节点35,"[0,0.000,360.000];113.55490990,26.02780411;113.55474993,26.02773507",1,0X00FF0000,100,0,0,7,无,1-0,0,26043451,无,
/线路节点,线路节点36,"[0,0.000,360.000];113.54857200,26.02641316;113.54849670,26.02638044",1,0X00FF0000,100,0,0,7,无,1-0,0,1870441026,无,
/线路节点,线路节点37,"[0,0.000,360.000];113.55959825,26.03087789;113.55964933,26.03088280",1,0X00FF0000,100,0,0,7,无,1-0,0,808646946,无,
/线路节点,线路节点38,"[0,0.000,360.000];113.58427010,26.02265626;113.58420297,26.02264055",1,0X00FF0000,100,0,0,7,无,1-0,0,1523405082,无,
/线路节点,线路节点39,"[0,0.000,360.000];113.57628058,26.00389393;113.57628998,26.00400008",1,0X00FF0000,100,0,0,7,无,1-0,0,1838942744,无,
/线路节点,线路节点40,"[0,0.000,360.000];113.57639262,25.99633333;113.57649737,25.99633825",1,0X00FF0000,100,0,0,7,无,1-0,0,1061205845,无,
/线路节点,线路节点41,"[0,0.000,360.000];113.58657417,25.99845292;113.58687401,25.99826352",1,0X00FF0000,100,0,0,7,无,1-0,0,420243582,无,
/线路节点,线路节点42,"[0,0.000,360.000];113.60709472,26.01748073;113.60700130,26.01704688",1,0X00FF0000,100,0,0,7,无,1-0,0,594369605,无,
/线路节点,线路节点43,"[0,0.000,360.000];113.59754509,26.03589543;113.59749678,26.03602326",1,0X00FF0000,100,0,0,7,无,1-0,0,1445084803,无,
/线路节点,线路节点44,"[0,0.000,360.000];113.62174611,26.02431130;113.62191439,26.02406577",1,0X00FF0000,100,0,0,7,无,1-0,0,1010052027,无,
/线路节点,线路节点45,"[0,0.000,360.000];113.65045481,26.04084034;113.65031019,26.04065972",1,0X00FF0000,100,0,0,7,无,1-0,0,1742606723,无,
/线路节点,线路节点46,"[0,0.000,360.000];113.63304121,26.01660261;113.63298761,26.01667867",1,0X00FF0000,100,0,0,7,无,1-0,0,1211649201,无,
/线路节点,线路节点47,"[0,0.000,360.000];113.59421426,25.99415022;113.59435201,25.99433869",1,0X00FF0000,100,0,0,7,无,1-0,0,1022296795,无,
/线路节点,线路节点48,"[0,0.000,360.000];113.61180500,25.99907266;113.61176076,25.99908354",1,0X00FF0000,100,0,0,7,无,1-0,0,197387875,无,
/线路节点,线路节点49,"[0,0.000,360.000];113.60723513,25.98048035;113.60749483,25.98060557",1,0X00FF0000,100,0,0,7,无,1-0,0,1359878485,无,
/线路节点,线路节点50,"[0,0.000,360.000];113.61290158,25.98309895;113.61308929,25.98298904",1,0X00FF0000,100,0,0,7,无,1-0,0,26154553,无,
/线路节点,线路节点51,"[0,0.000,360.000];113.61728690,25.98074446;113.61723864,25.98077346",1,0X00FF0000,100,0,0,7,无,1-0,0,1595870973,无,
/线路节点,线路节点52,"[0,0.000,360.000];113.62020152,25.98830440;113.62033848,25.98824804",1,0X00FF0000,100,0,0,7,无,1-0,0,1224021200,无,
/线路节点,线路节点53,"[0,0.000,360.000];113.63582879,25.98431634;113.63576181,25.98434297",1,0X00FF0000,100,0,0,7,无,1-0,0,1299711553,无,
/线路节点,线路节点54,"[0,0.000,360.000];113.63063636,25.99716471;113.63060823,25.99711770",1,0X00FF0000,100,0,0,7,无,1-0,0,1030859498,无,
/线路节点,线路节点55,"[0,0.000,360.000];113.61070640,25.97746490;113.61064677,25.97735038",1,0X00FF0000,100,0,0,7,无,1-0,0,14090619,无,
/线路节点,线路节点56,"[0,0.000,360.000];113.61643749,25.97420846;113.61639862,25.97420971",1,0X00FF0000,100,0,0,7,无,1-0,0,1669910331,无,
/线路节点,线路节点57,"[0,0.000,360.000];113.60841992,25.97139620;113.60842528,25.97142394",1,0X00FF0000,100,0,0,7,无,1-0,0,240794096,无,
/线路节点,线路节点58,"[0,0.000,360.000];113.57504832,25.99468422;113.57515710,25.99476756",1,0X00FF0000,100,0,0,7,无,1-0,0,1690396657,无,
/线路节点,线路节点59,"[0,0.000,360.000];113.59220744,25.97971038;113.59204231,25.97962622",1,0X00FF0000,100,0,0,7,无,1-0,0,537230852,无,
/线路节点,线路节点60,"[0,0.000,360.000];113.58776368,25.97745913;113.58785494,25.97750502",1,0X00FF0000,100,0,0,7,无,1-0,0,1313144109,无,
/线路节点,线路节点61,"[0,0.000,360.000];113.59305688,25.97913301;113.59327912,25.97903349",1,0X00FF0000,100,0,0,7,无,1-0,0,1851758104,无,
/线路节点,线路节点62,"[0,0.000,360.000];113.59324197,25.97426378;113.59298944,25.97425925",1,0X00FF0000,100,0,0,7,无,1-0,0,1986571309,无,
/线路节点,线路节点63,"[0,0.000,360.000];113.58776934,25.97338361;113.58790222,25.97342347",1,0X00FF0000,100,0,0,7,无,1-0,0,522524958,无,
/线路节点,线路节点64,"[0,0.000,360.000];113.61045098,25.95934493;113.61036248,25.95926774",1,0X00FF0000,100,0,0,7,无,1-0,0,1364251897,无,
/线路节点,线路节点65,"[0,0.000,360.000];113.59546968,25.97758911;113.59536501,25.97766149",1,0X00FF0000,100,0,0,7,无,1-0,0,1029500750,无,
